Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473908012931,-9999,-9999,1005.33997,-0.2873042,8.580819,4.9799395,-0.06381722,-0.01776123,0.26986074,-16.1875,63.1875,-4.25,25.39096,-9999,-0.02687807,0.1881465,-0.004886922,0.0,-9999,-9999,-9999
1473908013033,-9999,-9999,1005.27997,-0.47884035,8.619126,5.171476,-0.22714871,0.0310812,0.44362926,-16.0625,63.1875,-4.4375,25.350128,-9999,0.004886922,0.19058995,0.019547688,0.0,-9999,-9999,-9999
1473908013141,-9999,-9999,1005.37,-0.7086837,8.63828,4.903325,-0.43939403,0.05285549,0.17169094,-16.6875,62.8125,-4.0625,25.549957,-9999,-0.042760566,0.20647246,0.02687807,0.0,-9999,-9999,-9999
1473908013244,-9999,-9999,1005.27997,-0.17238252,8.829816,5.094861,0.09017296,0.25278568,0.3476491,-17.0,62.875,-4.375,25.638916,-9999,0.0012217305,0.062308256,0.13561209,0.0,-9999,-9999,-9999
1473908013348,-9999,-9999,1005.37,0.19153613,8.236053,5.267244,0.41510245,-0.3216076,0.48322487,-17.625,62.9375,-4.625,25.381287,-9999,-0.004886922,0.10995574,0.07452556,0.0,-9999,-9999,-9999
1473908013458,-9999,-9999,1005.33997,-0.24899697,8.791509,4.807557,-0.030455202,0.24050522,0.011413574,-17.5,62.625,-5.125,25.433472,-9999,-0.015882496,0.19303341,0.02565634,0.0,-9999,-9999,-9999
1473908013561,-9999,-9999,1005.22,-0.36391866,8.331821,4.903325,-0.1223267,-0.2211523,0.11180496,-17.25,62.875,-5.0,25.60852,-9999,0.036651913,0.12095132,0.081855945,0.0,-9999,-9999,-9999
1473908013663,-9999,-9999,1005.27997,-0.59376204,8.810662,4.462792,-0.2901149,0.24230576,-0.2976141,-17.875,62.375,-4.875,26.484344,-9999,-0.007330383,0.12217305,0.10262536,0.0,-9999,-9999,-9999
1473908013776,-9999,-9999,1005.31,0.095768064,8.90643,4.7500963,0.43023404,0.025968552,0.05570221,-18.375,62.3125,-5.3125,26.95813,-9999,0.0,0.11728613,0.087964594,0.0,-9999,-9999,-9999
1473908013887,-9999,-9999,1005.37,-0.019153614,8.887277,4.903325,0.015145481,0.2754135,-0.08093786,-18.75,62.625,-5.5625,27.130798,-9999,0.007330383,0.12339478,0.08552113,0.0,-9999,-9999,-9999
