Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473354624873,-9999,-9999,998.36,0.076614454,8.944737,4.3478703,0.023651063,-0.06907368,-0.046185017,-27.4375,76.625,-21.0,30.06308,0.059864793,0.20891592,0.035430185,1774.0,-9999,-9999,-9999
1473354624989,-9999,-9999,998.42,-0.4405331,7.9870567,2.4899697,-0.64253724,-0.91450787,-0.74750304,-27.4375,76.875,-21.1875,29.970154,0.019547688,0.095294975,0.10629055,1774.0,-9999,-9999,-9999
1473354625099,-9999,-9999,998.54,0.36391866,9.461885,4.0222588,0.3000082,0.5737438,-0.3322556,-27.625,77.3125,-21.3125,30.353302,-0.002443461,0.13072516,0.03176499,1774.0,-9999,-9999,-9999
1473354625209,-9999,-9999,998.38995,0.19153613,9.002198,4.4244847,0.30963403,-0.13314438,0.43052483,-27.3125,77.6875,-22.0,30.249207,-0.073303826,-0.02321288,0.172264,1774.0,-9999,-9999,-9999
1473354625325,-9999,-9999,998.42,-0.7661445,7.201759,4.4244847,-0.4582462,-1.7308717,0.3891778,-27.1875,78.125,-22.375,30.70752,-0.018325957,0.061086524,0.12583824,1787.0,-9999,-9999,-9999
1473354625443,-9999,-9999,998.38995,-0.8619126,8.887277,4.3287168,-0.6733231,-0.16876507,0.6015742,-27.5,78.125,-23.375,31.801971,0.036651913,0.2406809,0.07819075,1787.0,-9999,-9999,-9999
1473354625556,-9999,-9999,998.48,-1.3790601,9.097966,4.4244847,-0.6088734,0.049024582,0.45771456,-27.375,78.125,-23.6875,32.411255,0.04520403,0.26511553,0.07941248,1729.0,-9999,-9999,-9999
1473354625677,-9999,-9999,998.48,-2.0685902,8.676587,4.4436383,-1.1803814,-0.33983135,0.064373255,-26.9375,77.875,-24.75,33.153015,0.032986723,0.24678956,0.112399206,1729.0,-9999,-9999,-9999
1473354625792,-9999,-9999,998.42,-2.1068976,9.308656,4.807557,-1.1758395,0.8215084,0.6308613,-27.125,77.75,-25.875,35.008972,0.1160644,0.42394048,0.06352998,1784.0,-9999,-9999,-9999
1473354625905,-9999,-9999,998.42,-1.2449849,10.860099,5.209783,-1.2343364,1.0915327,0.8143616,-27.9375,77.0625,-26.1875,31.96997,0.26145032,0.9138544,-0.29932398,1784.0,-9999,-9999,-9999
1473354626023,-9999,-9999,998.3,-2.9113493,9.021352,3.6008794,-2.0476313,0.109345436,-0.39918447,-26.875,77.625,-26.1875,33.604523,0.25534168,0.75991637,-0.26145032,1784.0,-9999,-9999,-9999
1473354626136,-9999,-9999,998.48,-0.9768343,8.580819,4.8841715,-0.15717268,1.0637541,-0.054387808,-26.1875,77.8125,-27.0,35.329712,0.10140363,0.15882497,0.3726278,1934.0,-9999,-9999,-9999
1473354626247,-9999,-9999,998.48,-1.3024458,8.810662,4.4436383,-1.0322978,-0.12238884,0.38580298,-26.4375,78.4375,-27.25,34.36548,0.08674286,0.52534413,0.029321533,1934.0,-9999,-9999,-9999
1473354626361,-9999,-9999,998.48,-1.9728222,7.9487495,5.2480903,-0.9293523,-0.23722076,0.9665482,-26.1875,78.5,-27.375,34.485016,-0.118507855,0.10140363,0.25900686,2490.0,-9999,-9999,-9999
1473354626471,-9999,-9999,998.48,-1.2258313,8.90643,5.056554,-0.11398864,-0.1772337,0.938787,-25.5625,78.875,-29.0,34.09375,-0.014660766,0.18325958,0.1685988,2490.0,-9999,-9999,-9999
1473354626579,-9999,-9999,998.44995,-1.6472107,8.7532015,4.175488,-0.42246532,-0.105695724,0.28480268,-25.4375,78.9375,-29.75,33.661224,0.030543262,0.25534168,0.14049901,4914.0,-9999,-9999,-9999
1473354626692,-9999,-9999,998.48,-1.532289,8.868123,4.156334,-0.40641153,-0.07377434,0.2904241,-25.5625,79.125,-30.0,33.882446,0.008552114,0.267559,0.1563815,4853.0,-9999,-9999,-9999
1473354626810,-9999,-9999,998.50995,-1.0342951,8.848969,4.3287168,0.1363393,0.1204195,0.47214413,-25.1875,79.0,-30.375,33.598175,0.0061086523,0.25289822,0.16126843,4853.0,-9999,-9999,-9999
1473354626932,-9999,-9999,998.36,-1.3215994,8.829816,4.5202527,-0.15435517,-0.23136806,0.6540108,-24.8125,79.5,-31.5625,32.683044,0.015882496,0.30543262,0.119729586,6351.0,-9999,-9999,-9999
1473354627055,-9999,-9999,998.48,-1.1875241,8.810662,4.1946416,-0.14684212,0.22028732,0.32981277,-24.5625,79.9375,-32.125,31.774231,0.10751228,0.3921755,0.05009095,6351.0,-9999,-9999,-9999
1473354627164,-9999,-9999,998.48,-1.4939818,9.32781,3.8115692,-0.08965111,0.3759327,0.07565427,-24.0625,80.375,-32.9375,31.45694,0.08307768,0.344528,0.073303826,7656.0,-9999,-9999,-9999
1473354627273,-9999,-9999,998.38995,-1.5705963,9.174581,3.6583402,-0.51811576,0.38096333,-0.021933079,-23.4375,80.5625,-33.125,31.66507,0.06963864,0.35430184,0.07696902,7682.0,-9999,-9999,-9999
1473354627393,-9999,-9999,998.50995,-0.9576807,9.500193,3.8881836,0.11374378,0.99998474,0.18687391,-23.25,80.375,-33.375,31.173645,-0.014660766,0.18570304,0.16982053,7682.0,-9999,-9999,-9999
1473354627510,-9999,-9999,998.54,-1.532289,9.212888,3.964798,-0.42398012,-0.005440712,0.017418146,-22.8125,80.9375,-33.6875,31.165375,0.0842994,0.33475417,0.0720821,2335.0,-9999,-9999,-9999
1473354627626,-9999,-9999,998.54,-0.78529817,9.3661175,3.9839516,0.04556489,0.27671337,-0.11239362,-21.8125,81.0625,-33.8125,30.779907,0.065973446,0.2968805,0.09040806,2335.0,-9999,-9999,-9999
1473354627739,-9999,-9999,998.48,-0.5554548,9.80665,3.9839516,0.43585306,0.6813736,0.49373507,-22.25,81.8125,-33.5625,29.782227,0.037873644,0.2125811,0.13316862,1104.0,-9999,-9999,-9999
1473354627857,-9999,-9999,998.50995,-0.63206923,9.193734,3.4284968,0.4262762,0.14730835,-0.20639968,-21.75,81.375,-33.75,28.48706,0.061086524,0.267559,0.0720821,1104.0,-9999,-9999,-9999
1473354627974,-9999,-9999,998.57,0.095768064,9.251195,3.5817258,0.9459358,0.2868538,-0.048410892,-21.25,81.0625,-34.375,27.147583,0.002443461,0.16126843,0.11484267,1104.0,-9999,-9999,-9999
1473354628093,-9999,-9999,998.57,0.21068975,9.557653,3.9264908,1.1541728,0.6141052,0.19419003,-21.25,81.1875,-34.4375,24.632874,-0.012217305,0.13683382,0.09773844,1104.0,-9999,-9999,-9999
1473354628205,-9999,-9999,998.57,0.7469909,8.791509,4.0414124,1.6285017,-0.23790836,0.25583553,-21.0,82.1875,-34.6875,21.571838,0.0,0.09040806,0.08552113,1104.0,-9999,-9999,-9999
1473354628320,-9999,-9999,998.54,0.91937345,9.040505,3.5625722,1.68367,-0.081915855,0.10995102,-21.3125,82.75,-34.5,18.121887,0.02565634,0.08307768,0.018325957,1076.0,-9999,-9999,-9999
1473354628439,-9999,-9999,998.57,0.61291564,9.136273,3.7349546,1.2853651,0.052087784,-0.011169434,-21.875,82.5,-34.5625,16.52353,-0.002443461,0.08674286,0.002443461,1076.0,-9999,-9999,-9999
1473354628551,-9999,-9999,998.48,0.5554548,9.251195,3.86903,1.3697209,-0.15993214,0.47052813,-21.5,82.5,-35.0,15.64801,-0.030543262,0.013439035,0.061086524,1075.0,-9999,-9999,-9999
1473354628664,-9999,-9999,998.57,0.93852705,9.002198,4.1371803,1.4194249,0.049883842,-0.124025345,-21.3125,82.4375,-34.5,14.16806,0.010995574,0.07452556,-0.0012217305,1075.0,-9999,-9999,-9999
1473354628791,-9999,-9999,998.6,1.340753,9.232041,3.86903,1.7312409,0.2647791,0.23852563,-21.125,82.5,-35.0,12.351807,0.03176499,0.04642576,0.010995574,1075.0,-9999,-9999,-9999
1473354628908,-9999,-9999,998.6,0.91937345,9.232041,4.060566,1.280817,0.3139019,0.021601677,-21.9375,83.0,-35.0,11.411285,0.061086524,0.09896017,-0.061086524,1075.0,-9999,-9999,-9999
1473354629024,-9999,-9999,998.57,1.1492168,8.714894,3.8115692,1.2532834,-0.27994347,-0.2516439,-21.5,84.5,-34.1875,11.018677,-0.015882496,-0.065973446,0.03176499,1075.0,-9999,-9999,-9999
1473354629141,-9999,-9999,998.66,1.1300632,9.002198,3.6774938,1.319561,-0.004181862,-0.19801927,-21.8125,84.8125,-34.1875,10.252075,0.02076942,0.08552113,-0.056199603,1075.0,-9999,-9999,-9999
1473354629259,-9999,-9999,998.6,1.2066777,8.561666,3.9839516,1.4422277,-0.27581024,-0.06395507,-21.75,84.3125,-34.6875,9.662628,-0.02687807,0.0036651916,-0.0036651916,1075.0,-9999,-9999,-9999
1473354629379,-9999,-9999,998.50995,1.3599066,8.90643,3.964798,1.3930117,-0.20304012,-0.010216951,-21.8125,84.4375,-34.8125,9.294373,-0.06719518,-0.07086037,0.034208454,1075.0,-9999,-9999,-9999
1473354629489,-9999,-9999,998.57,0.9768343,8.561666,3.9456444,0.9658873,-0.37370777,0.0195961,-21.375,85.25,-35.25,9.187683,-0.017104227,0.010995574,-0.018325957,1075.0,-9999,-9999,-9999
